jaime_yellowbeard	thorn0
admirable_joan_blue	barth5
bold_joan	cozy0
beautiful_jaime	squid3
cutthroat_janey_the_admirable	boral3
janey_gingerhate	teste4
janee_boldparrot	hippo6
first_mate_nikol_the_beautiful	rabic2
dread_pirate_jayni	teap9
captain_jayni	xoana8
sir_janie_admirable	coral1
the_bold_pirate	germ5
nikol_bones	ormer9
capn_beautiful	khass4
janie_admirablebrand	queak9
joan_de_africa	crick6
admiral_janee	tasco1
jaimeplank	sider1
bold_nikol_the_pirate	omao4
yellow_jaime_the_feared	yocco1
alan_purplebeard	seton1
ample_al_ginger	sarsa4
charming_alan	crapy8
virtuous_al	tweet5
cutthroat_claudius_the_ample	flair7
al_blondehate	bend1
nigel_charmingparrot	gemot5
first_mate_claudius_the_virtuous	spewy2
dread_pirate_al	Ulex0
captain_nigel	copal5
sir_nigel_ample	clew8
the_charming_pirate	float4
claudius_bones	Oromo7
capn_virtuous	vice9
claudius_amplebrand	maze4
nigel_de_ireland	crank4
admiral_nigel	azoth5
nigelplank	cony1
charming_alan_the_pirate	sess7
purple_alan_the_feared	arid4
marc_gingerbeard	Pace2
admirable_arla_red	namda8
scrawny_arla	butyl0
giving_arlene	aero0
cutthroat_anuj_the_admirable	purry0
arlene_greenhate	waxen2
anuj_scrawnyparrot	gump9
first_mate_arla_the_giving	shawy6
dread_pirate_marc	nexal3
captain_marc	addax6
sir_arlene_admirable	"$THWP?
the_scrawny_pirate	rL52|We
marc_bones	o}jR2*w
capn_giving	7.[Hq%U
marc_admirablebrand	y)@=MZI
anuj_de_cornwall	<:ypk^{
admiral_arla	EypQuxQ
arlaplank	'(>QJ4l
scrawny_arlene_the_pirate	%e`2kAl
ginger_arla_the_feared	CfiIF_y
fernanda_purplebeard	.Ed9!U#
malicious_janie_blonde	B&KTs\@
selfish_janie	K";|0p@
proud_cosma	\Lf%sVq
cutthroat_janey_the_malicious	c$XV{pZ
jayni_pinkhate	B"xQwH\
janie_selfishparrot	Rk9;}CW
first_mate_cosma_the_proud	ykzcgRp
dread_pirate_cosma	IsY1NA<
captain_janee	gUkWf#}
sir_joan_malicious	?d'*d@%
the_selfish_pirate	Ayg`;c<
fernanda_bones	XNN$YL|
capn_proud	j>RJyS"
janee_maliciousbrand	`eEWGBb
jayni_de_australia	U}dA<p"GtY/A;RwjL9sP6L$N2
admiral_joan	"=A3DXm=g+n4d=6d$)=$O&B2t
cosmaplank	 -T s$Yg"[@r+^_,dO'y-!|A{
selfish_joan_the_pirate	R_/tSA]sAh'I(X5Kj.W.Sbl<&
purple_anda_the_feared	2C$W4P4O0vrGvOTE/a\..gXF0
edward_brownbeard	XcBnQLBQ^*Y%:PC#J~<_F`f/N
smelly_leondra_black	l#E&FvMI{XLtXccq#yM<Mu^+Q
ginger_leondra	a 5OEw'"?b,xph4HJ]#k'vknY
creepy_judith	i_>8M'9Z{,c)Vl@R0Njf6RXCq
cutthroat_joda_the_smelly	"/LJv[G fm+]yOW+*9,9}Vv~7
edward_purplehate	T"1>L"F*4phpVc00w=<#il7 G
jody_gingerparrot	_7MQ\iZVe\75#kIMKY5[~T>^[
first_mate_judith_the_creepy	*,hYm}\xuT/E*jN,3\2un`kb0
dread_pirate_joda	N.jl_T.%UE;/>I$Q#`zxo9Lg3
captain_judy	2;x|+]m5!mC2S4K6Oa)49e200
sir_judith_smelly	zR2qXN_eg8-C~ehc9F1pze_N"
the_ginger_pirate	%mFD)Mp`=@g(p #B?iA+\E-jb
jody_bones	3F?[9#)ZPG}942uGcNKMDxOLS
capn_creepy	EZ>,6[eU.NkoRbx5I%>pZX6e%
judy_smellybrand	6'{}3)$1 X!!-Tv,}RX=y*XKR
jody_de_ireland	*A"}*6dA/||x,~cWW<7T'oW2N
admiral_edward	uCAU8m9I?mH<O/ml2KC?$:_]Z
leondraplank	%KId;<6Ma'\yuog?hEV8>]zl1
ginger_judy_the_pirate	o>. }pZ3H'GCzZ83[sZ{<*+~-
brown_joda_the_feared	HR"-VH9z6s]ctTJVQ&.Q{_~_R
